threads,memory,Type,Time,Language,speedup
1,4332,real,0.21,cpp,1
1,4248,real,0.21,cpp,1
1,4300,real,0.21,cpp,1
1,4196,real,0.21,cpp,1
1,4328,real,0.21,cpp,1
1,4416,real,0.21,cpp,1
1,4328,real,0.21,cpp,1
1,4148,real,0.21,cpp,1
1,4280,real,0.21,cpp,1
2,4228,real,0.16,cpp,1.3125
2,4348,real,0.15,cpp,1.4
2,4260,real,0.15,cpp,1.4
2,4432,real,0.14,cpp,1.5
2,4320,real,0.14,cpp,1.5
2,4232,real,0.15,cpp,1.4
2,4352,real,0.11,cpp,1.90909090909091
2,4432,real,0.13,cpp,1.61538461538462
2,4376,real,0.15,cpp,1.4
4,4380,real,0.07,cpp,3
4,4376,real,0.05,cpp,4.2
4,4284,real,0.07,cpp,3
4,4380,real,0.07,cpp,3
4,4428,real,0.05,cpp,4.2
4,4356,real,0.06,cpp,3.5
4,4388,real,0.08,cpp,2.625
4,4320,real,0.06,cpp,3.5
4,4348,real,0.08,cpp,2.625
5,4360,real,0.04,cpp,5.25
5,4392,real,0.04,cpp,5.25
5,4472,real,0.04,cpp,5.25
5,4388,real,0.04,cpp,5.25
5,4412,real,0.03,cpp,7
5,4308,real,0.03,cpp,7
5,4240,real,0.04,cpp,5.25
5,4336,real,0.03,cpp,7
5,4308,real,0.05,cpp,4.2
8,4452,real,0.04,cpp,5.25
8,4468,real,0.03,cpp,7
8,4388,real,0.03,cpp,7
8,4420,real,0.02,cpp,10.5
8,4488,real,0.02,cpp,10.5
8,4452,real,0.02,cpp,10.5
8,4384,real,0.02,cpp,10.5
8,4380,real,0.02,cpp,10.5
8,4416,real,0.04,cpp,5.25
10,4472,real,0.03,cpp,7
10,4540,real,0.02,cpp,10.5
10,4444,real,0.02,cpp,10.5
10,4472,real,0.02,cpp,10.5
10,4352,real,0.01,cpp,21
10,4404,real,0.02,cpp,10.5
10,4324,real,0.02,cpp,10.5
10,4464,real,0.02,cpp,10.5
10,4520,real,0.03,cpp,7
16,4468,real,0.02,cpp,10.5
16,4464,real,0.03,cpp,7
16,4500,real,0.01,cpp,21
16,4492,real,0.02,cpp,10.5
16,4464,real,0.04,cpp,5.25
16,4484,real,0.02,cpp,10.5
16,4556,real,0.02,cpp,10.5
16,4496,real,0.02,cpp,10.5
16,4512,real,0.02,cpp,10.5
20,4496,real,0.02,cpp,10.5
20,4564,real,0.02,cpp,10.5
20,4584,real,0.03,cpp,7
20,4660,real,0.02,cpp,10.5
20,4532,real,0.02,cpp,10.5
20,4452,real,0.02,cpp,10.5
20,4592,real,0.02,cpp,10.5
20,4524,real,0.02,cpp,10.5
20,4588,real,0.03,cpp,7
25,4572,real,0.02,cpp,10.5
25,4608,real,0.01,cpp,21
25,4628,real,0.03,cpp,7
25,4564,real,0.02,cpp,10.5
25,4652,real,0.02,cpp,10.5
25,4508,real,0.02,cpp,10.5
25,4612,real,0.02,cpp,10.5
25,4680,real,0.02,cpp,10.5
25,4548,real,0.02,cpp,10.5
32,4588,real,0.02,cpp,10.5
32,4660,real,0.02,cpp,10.5
32,4748,real,0.02,cpp,10.5
32,4784,real,0.02,cpp,10.5
32,4672,real,0.02,cpp,10.5
32,4788,real,0.01,cpp,21
32,4788,real,0.02,cpp,10.5
32,4740,real,0.02,cpp,10.5
32,4708,real,0.02,cpp,10.5
40,4884,real,0.02,cpp,10.5
