Language,threads,mean
c,1,0.06
c,2,0.05
c,4,0.03
c,5,0.03
c,8,0.03
c,10,0.03
c,16,0.02
c,20,0.02
c,25,0.02
c,32,0.02
c,40,0.02
c,50,0.01
c,80,0.01
c,100,0.01
c,125,0.01
c,200,0.01
c,250,0.01
c,400,0.01
c,500,0.01
c_openmp,1,0.07
c_openmp,2,0.05
c_openmp,4,0.04
c_openmp,5,0.04
c_openmp,8,0.03
c_openmp,10,0.04
c_openmp,16,0.03
c_openmp,20,0.03
c_openmp,25,0.03
c_openmp,32,0.03
c_openmp,40,0.02
c_openmp,50,0.02
c_openmp,80,0.02
c_openmp,100,0.02
c_openmp,125,0.01
c_openmp,200,0.01
c_openmp,250,0.01
c_openmp,400,0.01
c_openmp,500,0.01
clojure,1,2.92
clojure,2,2.86
clojure,4,3.01
clojure,5,2.99
clojure,8,2.98
clojure,10,2.93
clojure,16,3.01
clojure,20,3.17
clojure,25,3.18
clojure,32,3.38
clojure,40,3.37
clojure,50,3.18
clojure,80,3.13
clojure,100,3.27
clojure,125,3.57
clojure,200,3.22
clojure,250,3.17
clojure,400,3.05
clojure,500,3.07
cpp,1,0.21
cpp,2,0.14
cpp,4,0.07
cpp,5,0.04
cpp,8,0.03
cpp,10,0.02
cpp,16,0.02
cpp,20,0.02
cpp,25,0.02
cpp,32,0.02
cpp,40,0.02
cpp,50,0.02
cpp,80,0.02
cpp,100,0.02
cpp,125,0.03
cpp,200,0.03
cpp,250,0.04
cpp,400,0.03
cpp,500,0.03
erlang,1,133.38
erlang,2,43.39
erlang,4,12.93
erlang,8,3.99
erlang,10,3.23
erlang,16,2.06
erlang,20,2.04
erlang,25,1.92
erlang,32,1.79
erlang,40,1.66
erlang,50,1.61
erlang,80,1.52
erlang,100,1.48
erlang,125,1.47
erlang,200,1.45
erlang,250,1.43
erlang,400,1.41
erlang,500,1.41
go,1,0.17
go,2,0.16
go,4,0.16
go,5,0.17
go,8,0.16
go,10,0.17
go,16,0.17
go,20,0.16
go,25,0.17
go,32,0.16
go,40,0.16
go,50,0.16
go,80,0.16
go,100,0.17
go,125,0.17
go,200,0.17
go,250,0.17
go,400,0.17
go,500,0.18
java_new,1,0.65
java_new,2,0.65
java_new,4,0.5
java_new,5,0.48
java_new,8,0.44
java_new,10,0.42
java_new,16,0.39
java_new,20,0.41
java_new,25,0.44
java_new,32,0.46
java_new,40,0.45
java_new,50,0.52
java_new,80,0.57
java_new,100,0.53
java_new,125,0.58
java_new,200,0.51
java_new,250,0.55
java_new,400,0.66
java_new,500,0.58
java_old,1,0.54
java_old,2,0.45
java_old,4,0.4
java_old,5,0.37
java_old,8,0.35
java_old,10,0.35
java_old,16,0.38
java_old,20,0.37
java_old,25,0.39
java_old,32,0.37
java_old,40,0.39
java_old,50,0.44
java_old,80,0.46
java_old,100,0.56
java_old,125,0.47
java_old,200,0.47
java_old,250,0.46
java_old,400,0.52
java_old,500,0.5
python,1,2.79
python,2,9.27
python,4,10.47
python,5,10.6
python,8,10.78
python,10,10.79
python,16,10.84
python,20,10.84
python,25,10.81
python,32,10.94
python,40,10.88
python,50,11.02
python,80,11.09
python,100,11.17
python,125,11.21
python,200,11.36
python,250,11.42
python,400,11.6
python,500,11.85
scala,1,0.77
scala,2,0.65
scala,4,0.59
scala,5,0.56
scala,8,0.55
scala,10,0.52
scala,16,0.54
scala,20,0.54
scala,25,0.53
scala,32,0.57
scala,40,0.56
scala,50,0.56
scala,80,0.6
scala,100,0.57
scala,125,0.56
scala,200,0.58
scala,250,0.57
scala,400,0.6
scala,500,0.61
